"query","calls","avg_time_ms","max_time_ms","total_time_secs"
"WITH
-- Recursively get the base types of domains
base_types AS (
  WITH RECURSIVE
  recurse AS (
    SELECT
      oid,
      typbasetype,
      typnamespace AS base_namespace,
      COALESCE(NULLIF(typbasetype, $2), oid) AS base_type
    FROM pg_type
    UNION
    SELECT
      t.oid,
      b.typbasetype,
      b.typnamespace AS base_namespace,
      COALESCE(NULLIF(b.typbasetype, $3), b.oid) AS base_type
    FROM recurse t
    JOIN pg_type b ON t.typbasetype = b.oid
  )
  SELECT
    oid,
    base_namespace,
    base_type
  FROM recurse
  WHERE typbasetype = $4
),
columns AS (
    SELECT
        c.oid AS relid,
        a.attname::name AS column_name,
        d.description AS description,
        -- typbasetype and typdefaultbin handles `CREATE DOMAIN .. DEFAULT val`,  attidentity/attgenerated handles generated columns, pg_get_expr gets the default of a column
        CASE
          WHEN (t.typbasetype != $5) AND (ad.adbin IS NULL) THEN pg_get_expr(t.typdefaultbin, $6)
          WHEN a.attidentity  = $7 THEN format($8, seq.objid::regclass)
          WHEN a.attgenerated = $9 THEN $10
          ELSE pg_get_expr(ad.adbin, ad.adrelid)::text
        END AS column_default,
        not (a.attnotnull OR t.typtype = $11 AND t.typnotnull) AS is_nullable,
        CASE
            WHEN t.typtype = $12 THEN
            CASE
                WHEN bt.base_namespace = $13::regnamespace THEN format_type(bt.base_type, $14::integer)
                ELSE format_type(a.atttypid, a.atttypmod)
            END
            ELSE
            CASE
                WHEN t.typnamespace = $15::regnamespace THEN format_type(a.atttypid, $16::integer)
                ELSE format_type(a.atttypid, a.atttypmod)
            END
        END::text AS data_type,
        format_type(a.atttypid, a.atttypmod)::text AS nominal_data_type,
        information_schema._pg_char_max_length(
            information_schema._pg_truetypid(a.*, t.*),
            information_schema._pg_truetypmod(a.*, t.*)
        )::integer AS character_maximum_length,
        bt.base_type,
        a.attnum::integer AS position
    FROM pg_attribute a
        LEFT JOIN pg_description AS d
            ON d.objoid = a.attrelid and d.objsubid = a.attnum and d.classoid = $17::regclass
        LEFT JOIN pg_attrdef ad
            ON a.attrelid = ad.adrelid AND a.attnum = ad.adnum
        JOIN pg_class c
            ON a.attrelid = c.oid
        JOIN pg_type t
            ON a.atttypid = t.oid
        LEFT JOIN base_types bt
            ON t.oid = bt.oid
        LEFT JOIN pg_depend seq
            ON seq.refobjid = a.attrelid and seq.refobjsubid = a.attnum and seq.deptype = $18
    WHERE
        NOT pg_is_other_temp_schema(c.relnamespace)
        AND a.attnum > $19
        AND NOT a.attisdropped
        AND c.relkind in ($20, $21, $22, $23, $24)
        AND c.relnamespace = ANY($1::regnamespace[])
),
columns_agg AS (
  SELECT
    relid,
    array_agg(row(
      column_name,
      description,
      is_nullable::boolean,
      data_type,
      nominal_data_type,
      character_maximum_length,
      column_default,
      coalesce(
        (SELECT array_agg(enumlabel ORDER BY enumsortorder) FROM pg_enum WHERE enumtypid = base_type),
        $25
      )
    ) order by position) as columns
  FROM columns
  GROUP BY relid
),
tbl_pk_cols AS (
  SELECT
    r.oid AS relid,
    array_agg(a.attname ORDER BY a.attname) AS pk_cols
  FROM pg_class r
  JOIN pg_constraint c
    ON r.oid = c.conrelid
  JOIN pg_attribute a
    ON a.attrelid = r.oid AND a.attnum = ANY (c.conkey)
  WHERE
    c.contype in ($26)
    AND r.relkind IN ($27, $28)
    AND r.relnamespace NOT IN ($29::regnamespace, $30::regnamespace)
    AND NOT pg_is_other_temp_schema(r.relnamespace)
    AND NOT a.attisdropped
  GROUP BY r.oid
)
SELECT
  n.nspname AS table_schema,
  c.relname AS table_name,
  d.description AS table_description,
  c.relkind IN ($31,$32) as is_view,
  (
    c.relkind IN ($33,$34)
    OR (
      c.relkind in ($35,$36)
      -- The function `pg_relation_is_updateable` returns a bitmask where 8
      -- corresponds to `1 << CMD_INSERT` in the PostgreSQL source code, i.e.
      -- it's possible to insert into the relation.
      AND (pg_relation_is_updatable(c.oid::regclass, $37) & $38) = $39
    )
  ) AS insertable,
  (
    c.relkind IN ($40,$41)
    OR (
      c.relkind in ($42,$43)
      -- CMD_UPDATE
      AND (pg_relation_is_updatable(c.oid::regclass, $44) & $45) = $46
    )
  ) AS updatable,
  (
    c.relkind IN ($47,$48)
    OR (
      c.relkind in ($49,$50)
      -- CMD_DELETE
      AND (pg_relation_is_updatable(c.oid::regclass, $51) & $52) = $53
    )
  ) AS deletable,
  coalesce(tpks.pk_cols, $54) as pk_cols,
  coalesce(cols_agg.columns, $55) as columns
FROM pg_class c
JOIN pg_namespace n ON n.oid = c.relnamespace
LEFT JOIN pg_description d on d.objoid = c.oid and d.objsubid = $56 and d.classoid = $57::regclass
LEFT JOIN tbl_pk_cols tpks ON c.oid = tpks.relid
LEFT JOIN columns_agg cols_agg ON c.oid = cols_agg.relid
WHERE c.relkind IN ($58,$59,$60,$61,$62)
AND c.relnamespace NOT IN ($63::regnamespace, $64::regnamespace)
AND not c.relispartition
ORDER BY table_schema, table_name",23,88.75,333.92,2.04
"with page as (
      select
        c.oid,
        c.relname,
        c.relrowsecurity,
        c.relforcerowsecurity,
        c.relreplident,
        nc.nspname as schema,
        -- Computed once here so the final select can reference it for both the
        -- raw byte count and pg_size_pretty without re-walking heap+toast+indexes.
        pg_total_relation_size(c.oid) as bytes_raw
      from pg_namespace nc
      join pg_class c on nc.oid = c.relnamespace
      where c.relkind in ($1, $2)
        and not pg_is_other_temp_schema(nc.oid)
        and c.oid > $3
        and (
          pg_has_role(c.relowner, $4)
          or has_table_privilege(
            c.oid,
            $5
          )
          or has_any_column_privilege(c.oid, $6)
        )
        and nc.nspname IN ($7)
        
      order by c.oid
      limit $8
    ),
    page_primary_keys as (
      select
        c.oid::int8 as table_id,
        jsonb_agg(
          jsonb_build_object(
            $9, c.oid::int8,
            $10, n.nspname,
            $11, c.relname,
            $12, a.attname
          )
          order by array_position(i.indkey, a.attnum)
        ) as primary_keys
      from pg_index i
      join pg_class c on i.indrelid = c.oid
      join pg_namespace n on c.relnamespace = n.oid
      join pg_attribute a on a.attrelid = c.oid and a.attnum = any(i.indkey)
      where i.indisprimary
        and c.oid in (select oid from page)
      group by c.oid
    ),
    -- Two-armed UNION ALL keyed by table_id so the downstream join is a plain
    -- equi-join (see tables CTE below). The previous shape used an OR across
    -- (source_oid, target_oid), which planners can't decompose into two index
    -- probes. The target-side arm skips self-referential FKs so they aren't
    -- emitted twice.
    page_relationships as (
      select
        csa.oid::int8 as table_id,
        c.oid::int8 as id,
        c.conname as constraint_name,
        nsa.nspname as source_schema,
        csa.relname as source_table_name,
        sa.attname as source_column_name,
        nta.nspname as target_table_schema,
        cta.relname as target_table_name,
        ta.attname as target_column_name
      from pg_constraint c
      join pg_class csa on csa.oid = c.conrelid
      join pg_namespace nsa on nsa.oid = csa.relnamespace
      -- Pair conkey/confkey by ordinal so composite FKs don't fan out into a
      -- cross-product of (source_col, target_col) rows.
      join lateral unnest(c.conkey, c.confkey) as fk(src_attnum, tgt_attnum) on $13
      join pg_attribute sa on sa.attrelid = c.conrelid and sa.attnum = fk.src_attnum
      join pg_class cta on cta.oid = c.confrelid
      join pg_namespace nta on nta.oid = cta.relnamespace
      join pg_attribute ta on ta.attrelid = c.confrelid and ta.attnum = fk.tgt_attnum
      where c.contype = $14
        and csa.oid in (select oid from page)
      union all
      select
        cta.oid::int8 as table_id,
        c.oid::int8 as id,
        c.conname as constraint_name,
        nsa.nspname as source_schema,
        csa.relname as source_table_name,
        sa.attname as source_column_name,
        nta.nspname as target_table_schema,
        cta.relname as target_table_name,
        ta.attname as target_column_name
      from pg_constraint c
      join pg_class csa on csa.oid = c.conrelid
      join pg_namespace nsa on nsa.oid = csa.relnamespace
      join lateral unnest(c.conkey, c.confkey) as fk(src_attnum, tgt_attnum) on $15
      join pg_attribute sa on sa.attrelid = c.conrelid and sa.attnum = fk.src_attnum
      join pg_class cta on cta.oid = c.confrelid
      join pg_namespace nta on nta.oid = cta.relnamespace
      join pg_attribute ta on ta.attrelid = c.confrelid and ta.attnum = fk.tgt_attnum
      where c.contype = $16
        and cta.oid in (select oid from page)
        and cta.oid <> csa.oid
    ),
    tables as (
      select
        p.oid::int8 as id,
        p.schema as schema,
        p.relname as name,
        p.relrowsecurity as rls_enabled,
        p.relforcerowsecurity as rls_forced,
        case
          when p.relreplident = $17 then $18
          when p.relreplident = $19 then $20
          when p.relreplident = $21 then $22
          else $23
        end as replica_identity,
        p.bytes_raw::int8 as bytes,
        pg_size_pretty(p.bytes_raw) as size,
        pg_stat_get_live_tuples(p.oid) as live_rows_estimate,
        pg_stat_get_dead_tuples(p.oid) as dead_rows_estimate,
        obj_description(p.oid) as comment,
        coalesce(pk.primary_keys, $24::jsonb) as primary_keys,
        coalesce(
          jsonb_agg(
            jsonb_build_object(
              $25, r.id,
              $26, r.constraint_name,
              $27, r.source_schema,
              $28, r.source_table_name,
              $29, r.source_column_name,
              $30, r.target_table_schema,
              $31, r.target_table_name,
              $32, r.target_column_name
            )
          ) filter (where r.id is not null),
          $33::jsonb
        ) as relationships
      from page p
      left join page_primary_keys pk on pk.table_id = p.oid
      left join page_relationships r on r.table_id = p.oid
      group by
        p.oid,
        p.schema,
        p.relname,
        p.relrowsecurity,
        p.relforcerowsecurity,
        p.relreplident,
        p.bytes_raw,
        pk.primary_keys
    ), columns as (
-- Adapted from information_schema.columns

SELECT
  c.oid :: int8 AS table_id,
  nc.nspname AS schema,
  c.relname AS table,
  (c.oid || $34 || a.attnum) AS id,
  a.attnum AS ordinal_position,
  a.attname AS name,
  CASE
    WHEN a.atthasdef THEN pg_get_expr(ad.adbin, ad.adrelid)
    ELSE $35
  END AS default_value,
  CASE
    WHEN t.typtype = $36 THEN CASE
      WHEN bt.typelem <> $37 :: oid
      AND bt.typlen = $38 THEN $39
      WHEN nbt.nspname = $40 THEN format_type(t.typbasetype, $41)
      ELSE $42
    END
    ELSE CASE
      WHEN t.typelem <> $43 :: oid
      AND t.typlen = $44 THEN $45
      WHEN nt.nspname = $46 THEN format_type(a.atttypid, $47)
      ELSE $48
    END
  END AS data_type,
  COALESCE(bt.typname, t.typname) AS format,
  COALESCE(nbt.nspname, nt.nspname) AS format_schema,
  a.attidentity IN ($49, $50) AS is_identity,
  CASE
    a.attidentity
    WHEN $51 THEN $52
    WHEN $53 THEN $54
    ELSE $55
  END AS identity_generation,
  a.attgenerated IN ($56) AS is_generated,
  NOT (
    a.attnotnull
    OR t.typtype = $57 AND t.typnotnull
  ) AS is_nullable,
  (
    c.relkind IN ($58, $59)
    OR c.relkind IN ($60, $61) AND pg_column_is_updatable(c.oid, a.attnum, $62)
  ) AS is_updatable,
  uniques.table_id IS NOT NULL AS is_unique,
  check_constraints.definition AS ""check"",
  array_to_json(
    array(
      SELECT
        enumlabel
      FROM
        pg_catalog.pg_enum enums
      WHERE
        enums.enumtypid = coalesce(bt.oid, t.oid)
        OR enums.enumtypid = coalesce(bt.typelem, t.typelem)
      ORDER BY
        enums.enumsortorder
    )
  ) AS enums,
  col_description(c.oid, a.attnum) AS comment
FROM
  pg_attribute a
  LEFT JOIN pg_attrdef ad ON a.attrelid = ad.adrelid
  AND a.attnum = ad.adnum
  JOIN (
    pg_class c
    JOIN pg_namespace nc ON c.relnamespace = nc.oid
  ) ON a.attrelid = c.oid
  JOIN (
    pg_type t
    JOIN pg_namespace nt ON t.typnamespace = nt.oid
  ) ON a.atttypid = t.oid
  LEFT JOIN (
    pg_type bt
    JOIN pg_namespace nbt ON bt.typnamespace = nbt.oid
  ) ON t.typtype = $63
  AND t.typbasetype = bt.oid
  LEFT JOIN (
    SELECT DISTINCT ON (table_id, ordinal_position)
      conrelid AS table_id,
      conkey[$64] AS ordinal_position
    FROM pg_catalog.pg_constraint
    WHERE contype = $65 AND cardinality(conkey) = $66
  ) AS uniques ON uniques.table_id = c.oid AND uniques.ordinal_position = a.attnum
  LEFT JOIN (
    -- We only select the first column check
    SELECT DISTINCT ON (table_id, ordinal_position)
      conrelid AS table_id,
      conkey[$67] AS ordinal_position,
      substring(
        pg_get_constraintdef(pg_constraint.oid, $68),
        $69,
        length(pg_get_constraintdef(pg_constraint.oid, $70)) - $71
      ) AS ""definition""
    FROM pg_constraint
    WHERE contype = $72 AND cardinality(conkey) = $73
    ORDER BY table_id, ordinal_position, oid asc
  ) AS check_constraints ON check_constraints.table_id = c.oid AND check_constraints.ordinal_position = a.attnum
WHERE
  NOT pg_is_other_temp_schema(nc.oid)
  AND a.attnum > $74
  AND NOT a.attisdropped
  AND (c.relkind IN ($75, $76, $77, $78, $79))
  AND (
    pg_has_role(c.relowner, $80)
    OR has_column_privilege(
      c.oid,
      a.attnum,
      $81
    )
  )
  AND c.oid in (select oid from page)
)
    select tables.*, 
COALESCE(
  (
    SELECT
      array_agg(row_to_json(columns)) FILTER (WHERE columns.table_id = tables.id)
    FROM
      columns
  ),
  $82
) AS columns
    from tables
    order by tables.id
  

-- source: dashboard
-- user: session:9222bd37-813b-4a23-b8c6-f3cba3baa888
-- date: 2026-06-10T03:00:22.682Z",12,81.00,144.39,0.97
"SELECT COUNT(*),
		        COALESCE(SUM(xp_awarded), $2),
		        COALESCE(ST_Length(ST_MakeLine(location::geometry ORDER BY created_at)::geography) / $3, $4)
		 FROM checkpoints WHERE journey_id = $1 AND deleted_at IS NULL",42,23.54,143.37,0.99
"SELECT c.id, c.name, c.category, c.note, c.rating, c.lat, c.lng, c.address,
		        c.place_id, c.xp_awarded, c.created_at,
		        u.username, u.display_name, u.avatar_key,
		        (SELECT object_key FROM checkpoint_images ci
		         WHERE ci.checkpoint_id = c.id ORDER BY sort_order, created_at LIMIT $6),
		        ST_Distance(c.location, ST_MakePoint($1, $2)::geography) AS dist
		 FROM checkpoints c JOIN users u ON u.id = c.user_id
		 WHERE c.deleted_at IS NULL
		   AND ($3::float8 IS NULL
		        OR ST_Distance(c.location, ST_MakePoint($1, $2)::geography) > $3
		        OR (ST_Distance(c.location, ST_MakePoint($1, $2)::geography) = $3 AND c.id > $4::uuid))
		 ORDER BY dist, c.id LIMIT $5",223,27.30,142.86,6.09
"SELECT c.id, c.name, c.category, c.note, c.rating, c.lat, c.lng, c.address,
		        c.place_id, c.xp_awarded, c.created_at,
		        u.username, u.display_name, u.avatar_key,
		        c.image_key, c.thumbnail_key,
		        ST_Distance(c.location, ST_MakePoint($1, $2)::geography) AS dist
		 FROM checkpoints c JOIN users u ON u.id = c.user_id
		 WHERE c.deleted_at IS NULL
		   AND ($3::timestamptz IS NULL
		        OR c.created_at < $3
		        OR (c.created_at = $3 AND c.id < $4::uuid))
		 ORDER BY c.created_at DESC, c.id DESC LIMIT $5",13,36.21,141.16,0.47
"SELECT c.id, c.name, c.category, c.note, c.rating, c.lat, c.lng, c.address,
		        c.place_id, c.xp_awarded, c.created_at,
		        u.username, u.display_name, u.avatar_key,
		        (SELECT object_key FROM checkpoint_images ci
		         WHERE ci.checkpoint_id = c.id ORDER BY sort_order, created_at LIMIT $6),
		        (SELECT COALESCE(thumbnail_key, object_key) FROM checkpoint_images ci
		         WHERE ci.checkpoint_id = c.id ORDER BY sort_order, created_at LIMIT $7),
		        ST_Distance(c.location, ST_MakePoint($1, $2)::geography) AS dist
		 FROM checkpoints c JOIN users u ON u.id = c.user_id
		 WHERE c.deleted_at IS NULL
		   AND ($3::timestamptz IS NULL
		        OR c.created_at < $3
		        OR (c.created_at = $3 AND c.id < $4::uuid))
		 ORDER BY c.created_at DESC, c.id DESC LIMIT $5",141,11.85,137.59,1.67
"SELECT c.id, c.user_id, c.name, c.category, c.note, c.rating, c.lat, c.lng, c.address,
	c.place_id, c.xp_awarded, c.created_at,
	u.username, u.display_name, u.avatar_key,
	c.image_key, c.thumbnail_key,
		        ST_Distance(c.location, ST_MakePoint($1, $2)::geography) AS dist
		 FROM checkpoints c JOIN users u ON u.id = c.user_id
		 WHERE c.deleted_at IS NULL
		   AND c.user_id IN (SELECT followee_id FROM follows WHERE follower_id = $6)
		   AND ($3::timestamptz IS NULL
		        OR c.created_at < $3
		        OR (c.created_at = $3 AND c.id < $4::uuid))
		 ORDER BY c.created_at DESC, c.id DESC LIMIT $5",213,5.35,122.47,1.14
"SELECT c.id, c.name, c.category, c.note, c.rating, c.lat, c.lng, c.address,
		        c.place_id, c.xp_awarded, c.created_at,
		        u.username, u.display_name, u.avatar_key,
		        (SELECT object_key FROM checkpoint_images ci
		         WHERE ci.checkpoint_id = c.id ORDER BY sort_order, created_at LIMIT $6),
		        (SELECT COALESCE(thumbnail_key, object_key) FROM checkpoint_images ci
		         WHERE ci.checkpoint_id = c.id ORDER BY sort_order, created_at LIMIT $7),
		        ST_Distance(c.location, ST_MakePoint($1, $2)::geography) AS dist
		 FROM checkpoints c JOIN users u ON u.id = c.user_id
		 WHERE c.deleted_at IS NULL
		   AND ($3::float8 IS NULL
		        OR ST_Distance(c.location, ST_MakePoint($1, $2)::geography) > $3
		        OR (ST_Distance(c.location, ST_MakePoint($1, $2)::geography) = $3 AND c.id > $4::uuid))
		 ORDER BY dist, c.id LIMIT $5",120,15.63,116.35,1.88
"SELECT c.id, c.user_id, c.name, c.category, c.note, c.rating, c.lat, c.lng, c.address,
	c.place_id, c.xp_awarded, c.created_at,
	u.username, u.display_name, u.avatar_key,
	c.image_key, c.thumbnail_key,
		        ST_Distance(c.location, ST_MakePoint($1, $2)::geography) AS dist
		 FROM checkpoints c JOIN users u ON u.id = c.user_id
		 WHERE c.deleted_at IS NULL
		   AND ($3::timestamptz IS NULL
		        OR c.created_at < $3
		        OR (c.created_at = $3 AND c.id < $4::uuid))
		 ORDER BY c.created_at DESC, c.id DESC LIMIT $5",349,6.01,111.19,2.10
"SELECT c.id, c.name, c.category, c.note, c.rating, c.lat, c.lng, c.address,
		        c.place_id, c.xp_awarded, c.created_at,
		        u.username, u.display_name, u.avatar_key,
		        (SELECT object_key FROM checkpoint_images ci
		         WHERE ci.checkpoint_id = c.id ORDER BY sort_order, created_at LIMIT $6)
		 FROM checkpoints c JOIN users u ON u.id = c.user_id
		 WHERE c.deleted_at IS NULL
		   AND ST_DWithin(c.location, ST_MakePoint($1, $2)::geography, $3)
		   AND ($4::timestamptz IS NULL OR c.created_at < $4::timestamptz)
		 ORDER BY c.created_at DESC LIMIT $5",67,12.04,96.81,0.81
